orderId,productId,currency,quantity,shippingCost,amount,channel,channelGroup,campaign,dateTime
efb921c1-6733-3811-b4c2-aa0d80800638,prod1520#prod100011001100,SEK,1,0.0,7095.93,direct,sem,,2023-02-01 17:12:52
efdd9ffa-0c2d-36fa-a6bb-1d57abe074c8,prod1563#prod106011001110,SEK,1,0.0,16002.24,direct,direct,,2023-02-01 16:54:24
ef83f304-102f-3bab-8005-4e2087ac12ad,prod1565#prod106031003080,SEK,1,0.0,15627.186,others,referral,,2023-02-01 23:28:50
ef2fc87a-ec83-3533-a1d3-d5d80c692bc2,prod1524#prod100051005115,SEK,1,0.0,8963.28,google,sem,kr_pmax,2023-02-01 23:13:38
effb34d2-5228-304b-af31-ec81016cbc50,prod3214#prod117021007085,SEK,1,0.0,25251.951,direct,direct,,2023-02-01 07:28:39
ef67b199-813b-3622-a5a7-3d2682fe198b,prod1546#prod103071007090,SEK,1,0.0,15032.715,direct,direct,,2023-02-01 14:05:54
efede43d-05ac-351e-aec8-90a0af80cb67,prod1519#prod100001000105,SEK,1,0.0,13190.316,google,sem,de_branded_search,2023-02-01 20:03:11
efde6d5d-d98e-386b-b1e0-d57c30da46ab,prod1519#prod100001000085,SEK,1,0.0,12725.019,google,sem,fr_pmax,2023-02-01 22:54:15
eff72c1e-3d06-3f33-ace3-5a547ef7db9b,prod2302#prod100101003105,SEK,1,0.0,7282.665,google,organic,,2023-02-01 03:49:35
efb6b050-831a-3687-8c62-6aae2ebf32df,prod1528#prod101011001060,SEK,1,0.0,15965.841,direct,direct,,2023-02-01 03:35:10
efb6b050-831a-3687-8c62-6aae2ebf32df,prod1585#prod500001015060,SEK,1,0.0,2468.7,direct,direct,,2023-02-01 03:35:10
ef4fc34b-10d9-33ec-a739-a81e54d636f0,prod2280#prod501101021201,SEK,1,0.0,5560.164,direct,direct,,2023-02-01 00:01:33
ef3838d7-ea19-3566-8480-121550b26526,prod1531#prod101041004085,SEK,1,0.0,16433.118,direct,direct,,2023-02-01 16:27:18
ef859101-8364-38bc-8a33-3850249c01f6,prod1523#prod100041004095,SEK,1,0.0,7464.396,direct,direct,,2023-02-01 17:38:48
ef6d1974-dda6-3afe-83ba-911acb42ee33,prod2306#prod102061000080,SEK,1,2171.19,13901.79,direct,direct,,2023-02-01 05:59:53
ef02acb3-8dba-3b14-a64d-8924d06fd1c8,prod1538#prod102051009075,SEK,1,1515.108,10778.91,google,organic,,2023-02-02 11:30:55
efe71ea9-4c1a-399b-90fd-79c8485c6999,prod1524#prod100051005075,SEK,1,0.0,11158.56,google,sem,row_branded_search,2023-02-02 15:42:22
ef9fc30e-41f6-3649-9613-4681065a91de,prod1538#prod102051009105,SEK,1,585.024,9014.322,direct,direct,,2023-02-02 15:36:42
